category	hue
Human	0
Unknown	20
Homo sapiens	10
Argentina	0
Brazil	10
Peru	20
Mexico	30
Panama	40
Nicaragua	50
Canada	60
USA	70
France	100
Germany	110
Italy	120
Spain	130
Netherlands	140
Belgium	150
Switzerland	160
Austria	170
Finland	180
Ireland	190
United Kingdom	200
Slovakia	210
Russia	220
Australia	60
New Zealand	70
Papua New Guinea	80
China	200
Japan	210
South Korea	220
Taiwan	230
Hong Kong	240
India	250
Thailand	260
Viet Nam	270
Philippines	280
Mongolia	290
Nepal	300
Jordan	300
Kuwait	310
South Africa	320
Kenya	330
Uganda	340
Egypt	350
Cote d'Ivoire	340
B	10
B.3	40
B.D	100
B.D.1	110
B.D.1.1	120
B.D.2	130
B.D.3	140
B.D.4	180
B.D.4.1	190
B.D.4.1.1	200
B.D.4.1.2	210
B.D.4.1.3	220
B.D.E	260
B.D.E.1	270
B.D.E.1.1	280
B.D.E.1.2	290
B.D.E.1.4	300
B.D.E.1.7	310
B.D.E.1.8	320
B.D.E.2	330
B.D.E.4	340
B.D.E.5	350
B.D.E.6	340
B.D.E.7	330